bfs_nr,metric,residual,zscore
226,income_avg_2022,-17062.4159160196,-0.6934453776682096
227,income_avg_2022,-3454.8394439609256,-0.14041050545199715
228,income_avg_2022,-23870.176932064147,-0.9701242742606693
230,income_avg_2022,-20379.551247285795,-0.8282593555883458
231,income_avg_2022,-25733.31584398543,-1.0458453839080182
241,income_avg_2022,22551.50301312277,0.9165311407769763
242,income_avg_2022,-3018.9048084563256,-0.12269338617392825
243,income_avg_2022,-23603.34681170863,-0.9592798478620922
244,income_avg_2022,-7175.109142478497,-0.2916085443940664
245,income_avg_2022,-23131.54090064796,-0.9401048594084123
246,income_avg_2022,-2251.9355029843136,-0.09152245924829763
247,income_avg_2022,-13704.381079395229,-0.5569691748275734
248,income_avg_2022,73893.27946321771,3.0031475810177812
249,income_avg_2022,-734.783337977773,-0.029862834889044995
250,income_avg_2022,-10230.564131551262,-0.4157873915909914
251,income_avg_2022,-2127.7859808474313,-0.08647681315167959
261,income_avg_2022,2573.295457610773,0.10458307013717849
291,income_avg_2022,5382.645856304662,0.2187598114505556
292,income_avg_2022,-6770.384541660926,-0.2751598535962964
293,income_avg_2022,-1997.088504322106,-0.08116504713826915
294,income_avg_2022,-16750.38097110408,-0.6807637509110359
295,income_avg_2022,8630.112105289067,0.35074232029195873
296,income_avg_2022,-20499.851872257583,-0.8331485760087062
297,income_avg_2022,-2040.2936560174494,-0.082920977416962
298,income_avg_2022,-8212.420837506725,-0.3337666422659594
1,capital_median_2022,55196.26967198224,1.167748471980395
2,capital_median_2022,-36438.89527101995,-0.7709119570264438
3,capital_median_2022,17118.574061258696,0.36216557425555773
4,capital_median_2022,9446.872756519064,0.19986081110147957
5,capital_median_2022,14690.278352843714,0.3107918379529119
6,capital_median_2022,29055.202114625834,0.6147003787406016
7,capital_median_2022,22380.400009917474,0.47348630748423887
8,capital_median_2022,-20197.818237750238,-0.42731096729246687
9,capital_median_2022,7505.555737712377,0.15878973880233535
10,capital_median_2022,-40904.998779452406,-0.8653981528993068
11,capital_median_2022,-22833.73925720222,-0.48307728557843804
12,capital_median_2022,72131.12865054267,1.5260273160569828
